Ref_base,Ref_roll
MXG_73110102,STELLA_7312782538
MXG_73110128,STELLA_7312782825
MXG_73129263,STELLA_7312815760
MXG_73181369,STELLA_7312812066
MXG_73228656,STELLA_7312818519
MXG_73228697,STELLA_7312737422
MXG_73230381,STELLA_7312812778
MXG_73254867,STELLA_7312806108
MXG_73254970,STELLA_7312740569
MXG_73274215,STELLA_7312758345
MXG_73274224,STELLA_7312755978
MXG_73274231,STELLA_7312758036
MXG_73295849,STELLA_7312749155
MXG_73296602,STELLA_7312812536
MXG_73301438,STELLA_7312728645
MXG_73302672,STELLA_7312755391
MXG_73302673,STELLA_7312755452
MXG_73322009,STELLA_7312794790
MXG_73330079,STELLA_7312809073
MXG_73379783,STELLA_7312809589
MXG_73382985,STELLA_7312794984
MXG_73483632,STELLA_7312803834
MXG_73534995,STELLA_7312758049
MXG_73674848,STELLA_7312758805
MXG_73680419,STELLA_7312794073
MXG_73680426,STELLA_7312794327
MXG_73800932,STELLA_7312749364
MXG_73800997,STELLA_7312743950
MXG_73801022,STELLA_7312803457
MXG_73801035,STELLA_7312803596
MXG_73801056,STELLA_7312794197
MXG_73950978,STELLA_7312749099
MXG_73979736,STELLA_7312752793
MXG_73981649,STELLA_7312749422
MXG_73981658,STELLA_7312749667
MXG_73999248,STELLA_7312770745
MXG_74025365,STELLA_7312770177
MXG_74025386,STELLA_7312764561
MXG_74027679,STELLA_7312749287
MXG_74049225,STELLA_7312785546
MXG_74100950,STELLA_7312788951
MXG_74275407,STELLA_7312758056
MXG_74300456,STELLA_7312758804
MXG_74303566,STELLA_7312755874
MXG_74327454,STELLA_7312752516
MXG_74405015,STELLA_7312737164
MXG_74525534,STELLA_7312773913
MXG_74527527,STELLA_7312752380
MXG_74527757,STELLA_7312785733
MXG_74584999,STELLA_7312752108
MXG_74585828,STELLA_7312752409
MXG_74607679,STELLA_7312749845
MXG_74608234,STELLA_7312809874
MXG_74676067,STELLA_7312779444
MXG_74676069,STELLA_7312779392
MXG_74703290,STELLA_7312755006
MXG_74707485,STELLA_7312806214
MXG_74710015,STELLA_7312761414
MXG_74728046,STELLA_7312740020
MXG_74729921,STELLA_7312770020
MXG_74736034,STELLA_7312734892
MXG_74758921,STELLA_7312773975
MXG_74786585,STELLA_7312773136
MXG_74798693,STELLA_7312794799
MXG_74798995,STELLA_7312779995
MXG_74851786,STELLA_7312809830
MXG_74859308,STELLA_7312923269
MXG_74879545,STELLA_7312752804
MXG_74903351,STELLA_7312806092
MXG_74903382,STELLA_7312809068
MXG_74907466,STELLA_7312785552
MXG_74945889,STELLA_7312731169
MXG_74945890,STELLA_7312731170
MXG_74945891,STELLA_7312731171
MXG_74945986,STELLA_7312731027
MXG_74945987,STELLA_7312731028
MXG_74945988,STELLA_7312731029
MXG_74946161,STELLA_7312731247
MXG_74946162,STELLA_7312731248
MXG_74946163,STELLA_7312731249
MXG_74946710,STELLA_7312731105
MXG_74946711,STELLA_7312731106
MXG_74946712,STELLA_7312731107
MXG_74946735,STELLA_7312731116
MXG_74946736,STELLA_7312731117
MXG_74946737,STELLA_7312731118
MXG_74947154,STELLA_7312731304
MXG_74947155,STELLA_7312731305
MXG_74947156,STELLA_7312731306
MXG_74947178,STELLA_7312731295
MXG_74947179,STELLA_7312731296
MXG_74947180,STELLA_7312731297
MXG_74947199,STELLA_7312731271
MXG_74947200,STELLA_7312731272
MXG_74947201,STELLA_7312731273
MXG_74947401,STELLA_7312773458
MXG_75019449,STELLA_7312758386
MXG_75019452,STELLA_7312758498
MXG_75019454,STELLA_7312758825
MXG_75057822,STELLA_7312779629
MXG_75085318,STELLA_7312737928
MXG_75085802,STELLA_7312752746
MXG_75090554,STELLA_7312818659
MXG_75125366,STELLA_7312794285
MXG_75151905,STELLA_7312779994
MXG_75158164,STELLA_7312773159
MXG_75209271,STELLA_7312740930
MXG_75337692,STELLA_7312782688
MXG_75337711,STELLA_7312779521
MXG_75337712,STELLA_7312779530
MXG_75338012,STELLA_7312815195
MXG_75338076,STELLA_7312896041
MXG_75338078,STELLA_7312803373
MXG_75339314,STELLA_7312815887
MXG_75367573,STELLA_7312773170
MXG_75368699,STELLA_7312734350
MXG_75368705,STELLA_7312806155
MXG_75411289,STELLA_7312755272
MXG_75413813,STELLA_7312752395
MXG_75431822,STELLA_7312779240
MXG_75451202,STELLA_7312743681
MXG_75455989,STELLA_7312809518
MXG_75493347,STELLA_7312794095
MXG_75606685,STELLA_7312734160
MXG_75606688,STELLA_7312734319
MXG_75615640,STELLA_7312761136
MXG_75647864,STELLA_7312777002
MXG_75648981,STELLA_7312740212
MXG_75685651,STELLA_7312809935
MXG_75686650,STELLA_7312788366
MXG_75688198,STELLA_7312740644
MXG_75691240,STELLA_7312761090
MXG_75781667,STELLA_7312752913
MXG_75797705,STELLA_7312734915
